"schedtime","carrier","deptime","dest","distance","date","flightnumber","origin","weather","dayweek","daymonth","tailnu","delay"
1455,"OH",1455,"JFK",184,"37987",5935,"BWI",0,4,1,"N940CA","ontime"
1640,"DH",1640,"JFK",213,"37987",6155,"DCA",0,4,1,"N405FJ","ontime"
1245,"DH",1245,"LGA",229,"37987",7208,"IAD",0,4,1,"N695BR","ontime"
1715,"DH",1709,"LGA",229,"37987",7215,"IAD",0,4,1,"N662BR","ontime"
1039,"DH",1035,"LGA",229,"37987",7792,"IAD",0,4,1,"N698BR","ontime"
840,"DH",839,"JFK",228,"37987",7800,"IAD",0,4,1,"N687BR","ontime"
1240,"DH",1243,"JFK",228,"37987",7806,"IAD",0,4,1,"N321UE","ontime"
1645,"DH",1644,"JFK",228,"37987",7810,"IAD",0,4,1,"N301UE","ontime"
1715,"DH",1710,"JFK",228,"37987",7812,"IAD",0,4,1,"N328UE","ontime"
2120,"DH",2129,"JFK",228,"37987",7814,"IAD",0,4,1,"N685BR","ontime"
2120,"DH",2114,"LGA",229,"37987",7924,"IAD",0,4,1,"N645BR","ontime"
1455,"DL",1458,"JFK",213,"37987",746,"DCA",0,4,1,"N918DE","ontime"
930,"DL",932,"LGA",214,"37987",1746,"DCA",0,4,1,"N242DL","ontime"
1230,"DL",1228,"LGA",214,"37987",1752,"DCA",0,4,1,"N241DL","ontime"
1430,"DL",1429,"LGA",214,"37987",1756,"DCA",0,4,1,"N242DL","ontime"
1730,"DL",1728,"LGA",214,"37987",1762,"DCA",0,4,1,"N241DL","ontime"
2030,"DL",2029,"LGA",214,"37987",1768,"DCA",0,4,1,"N242DL","ontime"
1530,"MQ",1525,"JFK",213,"37987",4752,"DCA",0,4,1,"N709MQ","ontime"
600,"MQ",556,"JFK",213,"37987",4760,"DCA",0,4,1,"N717MQ","ontime"
1830,"MQ",1822,"JFK",213,"37987",4784,"DCA",0,4,1,"N707MQ","ontime"
