"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"schedtime",1,2201,1371.93866424353,432.697149348587,1455,1374.53265190233,407.715,600,2130,1530,-0.13739244253295,-1.01173697749204,9.22303831368782
"carrier*",2,2201,4.35574738755111,2.29272067397779,4,4.24815445769452,2.9652,1,8,7,0.384973146024993,-1.25767170254606,0.0488698634842309
"deptime",3,2201,1369.29895502045,442.462754101506,1450,1372.88642816582,471.4668,10,2330,2320,-0.151838007847083,-0.970549631446962,9.43119440375704
"dest*",4,2201,2.22035438437074,0.881148043381261,3,2.27541169789893,0,1,3,2,-0.443439489029265,-1.56747371298463,0.0187818712842716
"distance",5,2201,211.871422080872,13.3168146008394,214,213.574105621806,1.4826,169,229,60,-1.62546293088309,3.40816148261834,0.283850936999985
"date*",6,2201,15.8982280781463,9.15907902995971,16,15.893242475866,11.8608,1,31,30,0.0187626292142654,-1.25979313751133,0.195227856108105
"flightnumber",7,2201,3815.086324398,2409.75022447615,2385,3659.17149346967,953.3118,746,7924,7178,0.600404879033777,-1.23246413149895,51.3643750143046
"origin*",8,2201,2.24579736483417,0.563279208024803,2,2.26462237365134,0,1,3,2,-0.0162760088435302,-0.39936231055762,0.0120064246430503
"weather",9,2201,0.0145388459791007,0.119724602409539,0,0,0,0,1,1,8.1059461522612,63.735321080553,0.00255195717553629
"dayweek",10,2201,3.90549750113585,1.90314852525973,4,3.88188529244748,2.9652,1,7,6,0.0257676622761821,-1.10264790935991,0.0405660443835468
"daymonth",11,2201,16.0249886415265,8.6773903079607,16,15.9886428165813,10.3782,1,31,30,0.0341302931198752,-1.16904837354797,0.18496055126231
"tailnu*",12,2201,297.986824170831,137.048161106533,309,304.400340715502,160.1208,1,549,548,-0.23138584697859,-1.03709639591563,2.92121277574611
"delay*",13,2201,1.80554293502953,0.39587209607549,2,1.88188529244747,0,1,2,1,-1.54294337997006,0.380847927013381,0.00843810391383637
"delay_cat*",14,2201,1,0,1,1,0,1,1,0,NA,NA,0
