"schedtime","carrier","deptime","dest","distance","date","flightnumber","origin","weather","dayweek","daymonth","tailnu","delay","delay_cat","dep_hour"
1455,"OH",1455,"JFK",184,"37987",5935,"BWI",0,"Thu",1,"N940CA","ontime","On time",14
1640,"DH",1640,"JFK",213,"37987",6155,"DCA",0,"Thu",1,"N405FJ","ontime","On time",16
1245,"DH",1245,"LGA",229,"37987",7208,"IAD",0,"Thu",1,"N695BR","ontime","On time",12
1715,"DH",1709,"LGA",229,"37987",7215,"IAD",0,"Thu",1,"N662BR","ontime","On time",17
1039,"DH",1035,"LGA",229,"37987",7792,"IAD",0,"Thu",1,"N698BR","ontime","On time",10
840,"DH",839,"JFK",228,"37987",7800,"IAD",0,"Thu",1,"N687BR","ontime","On time",8
1240,"DH",1243,"JFK",228,"37987",7806,"IAD",0,"Thu",1,"N321UE","ontime","On time",12
1645,"DH",1644,"JFK",228,"37987",7810,"IAD",0,"Thu",1,"N301UE","ontime","On time",16
1715,"DH",1710,"JFK",228,"37987",7812,"IAD",0,"Thu",1,"N328UE","ontime","On time",17
2120,"DH",2129,"JFK",228,"37987",7814,"IAD",0,"Thu",1,"N685BR","ontime","On time",21
2120,"DH",2114,"LGA",229,"37987",7924,"IAD",0,"Thu",1,"N645BR","ontime","On time",21
1455,"DL",1458,"JFK",213,"37987",746,"DCA",0,"Thu",1,"N918DE","ontime","On time",14
930,"DL",932,"LGA",214,"37987",1746,"DCA",0,"Thu",1,"N242DL","ontime","On time",9
1230,"DL",1228,"LGA",214,"37987",1752,"DCA",0,"Thu",1,"N241DL","ontime","On time",12
1430,"DL",1429,"LGA",214,"37987",1756,"DCA",0,"Thu",1,"N242DL","ontime","On time",14
1730,"DL",1728,"LGA",214,"37987",1762,"DCA",0,"Thu",1,"N241DL","ontime","On time",17
2030,"DL",2029,"LGA",214,"37987",1768,"DCA",0,"Thu",1,"N242DL","ontime","On time",20
1530,"MQ",1525,"JFK",213,"37987",4752,"DCA",0,"Thu",1,"N709MQ","ontime","On time",15
600,"MQ",556,"JFK",213,"37987",4760,"DCA",0,"Thu",1,"N717MQ","ontime","On time",5
1830,"MQ",1822,"JFK",213,"37987",4784,"DCA",0,"Thu",1,"N707MQ","ontime","On time",18
900,"MQ",853,"LGA",214,"37987",4956,"DCA",0,"Thu",1,"N737MQ","ontime","On time",8
1300,"MQ",1254,"LGA",214,"37987",4964,"DCA",0,"Thu",1,"N717MQ","ontime","On time",12
1400,"MQ",1356,"LGA",214,"37987",4966,"DCA",0,"Thu",1,"N726MQ","ontime","On time",13
1500,"MQ",1452,"LGA",214,"37987",4968,"DCA",0,"Thu",1,"N724MQ","ontime","On time",14
1900,"MQ",1853,"LGA",214,"37987",4976,"DCA",0,"Thu",1,"N724MQ","ontime","On time",18
850,"UA",841,"LGA",229,"37987",846,"IAD",0,"Thu",1,"N513UA","ontime","On time",8
900,"US",858,"LGA",214,"37987",2164,"DCA",0,"Thu",1,"N709UW","ontime","On time",8
1100,"US",1056,"LGA",214,"37987",2168,"DCA",0,"Thu",1,"N748UW","ontime","On time",10
1300,"US",1253,"LGA",214,"37987",2172,"DCA",0,"Thu",1,"N709UW","ontime","On time",12
1500,"US",1458,"LGA",214,"37987",2176,"DCA",0,"Thu",1,"N748UW","ontime","On time",14
1700,"US",1655,"LGA",214,"37987",2180,"DCA",0,"Thu",1,"N709UW","ontime","On time",16
2100,"US",2055,"LGA",214,"37987",2188,"DCA",0,"Thu",1,"N709UW","ontime","On time",20
1455,"RU",1452,"EWR",169,"37987",2403,"BWI",0,"Thu",1,"N14916","ontime","On time",14
1720,"RU",1710,"EWR",169,"37987",2675,"BWI",0,"Thu",1,"N16954","ontime","On time",17
1030,"RU",1030,"EWR",169,"37987",2303,"BWI",0,"Thu",1,"N26549","ontime","On time",10
700,"RU",656,"EWR",169,"37987",2703,"BWI",0,"Thu",1,"N16954","ontime","On time",6
1300,"CO",1256,"EWR",199,"37987",808,"DCA",0,"Thu",1,"N18611","ontime","On time",12
1730,"CO",1726,"EWR",199,"37987",814,"DCA",0,"Thu",1,"N19357","ontime","On time",17
840,"DH",840,"EWR",213,"37987",7299,"IAD",0,"Thu",1,"N691BR","ontime","On time",8
1710,"DH",1704,"EWR",213,"37987",7302,"IAD",0,"Thu",1,"N691BR","ontime","On time",17
1245,"DH",1245,"EWR",213,"37987",7303,"IAD",0,"Thu",1,"N697BR","ontime","On time",12
2120,"DH",2118,"EWR",213,"37987",7304,"IAD",0,"Thu",1,"N699BR","ontime","On time",21
1700,"RU",1651,"EWR",213,"37987",2497,"IAD",0,"Thu",1,"N12540","ontime","On time",16
1900,"RU",1850,"EWR",213,"37987",2385,"IAD",0,"Thu",1,"N16149","ontime","On time",18
1525,"RU",1521,"EWR",199,"37987",2261,"DCA",0,"Thu",1,"N12564","ontime","On time",15
1900,"RU",1855,"EWR",199,"37987",2336,"DCA",0,"Thu",1,"N21537","ontime","On time",18
1400,"RU",1357,"EWR",199,"37987",2216,"DCA",0,"Thu",1,"N15983","ontime","On time",13
1515,"RU",1508,"EWR",213,"37987",2156,"IAD",0,"Thu",1,"N16149","ontime","On time",15
1300,"RU",1255,"EWR",213,"37987",2664,"IAD",0,"Thu",1,"N12519","ontime","On time",12
1630,"RU",1625,"EWR",199,"37987",2181,"DCA",0,"Thu",1,"N19966","ontime","On time",16
1455,"OH",1455,"JFK",184,"38018",5935,"BWI",0,"Fri",2,"N995CA","ontime","On time",14
1640,"DH",1641,"JFK",213,"38018",6155,"DCA",0,"Fri",2,"N415FJ","ontime","On time",16
1245,"DH",1249,"LGA",229,"38018",7208,"IAD",0,"Fri",2,"N688BR","ontime","On time",12
1455,"DH",1531,"LGA",229,"38018",7211,"IAD",0,"Fri",2,"N665BR","delayed","On time",15
1715,"DH",1712,"LGA",229,"38018",7215,"IAD",0,"Fri",2,"N639BR","ontime","On time",17
